datetime,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_9,ema_20,ema_50,rsi_14,bb_upper_20,bb_lower_20,bb_width_20,vwap,supertrend_10_3,supertrend_10_3_signal,is_support,is_resistance,support_levels,resistance_levels,sr_position,nearest_support,nearest_resistance
2025-04-15 09:15:00,770.0,770.0,757.1,761.4,340759,,,,761.4,761.4,761.4,,,,,762.8333333333334,761.4,1,0,0,[762.4],[764.0],-1,,764.0
2025-04-15 09:16:00,762.0,763.9,761.9,763.5,74722,,,,761.82,761.6,761.4823529411765,,,,,762.8812918841857,,1,0,0,[762.4],[764.0],1,762.4,764.0
2025-04-15 09:17:00,763.7,765.45,763.5,764.9,68749,,,,762.436,761.9142857142857,761.6163783160323,,,,,763.1276733163992,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:18:00,765.1,766.5,764.5,764.9,83903,,,,762.9288,762.1986394557823,761.7451477938349,,,,,763.4484867979857,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:19:00,764.5,765.45,764.35,765.3,27769,,,,763.40304,762.4940071266602,761.8845537627042,,,,,763.5223405582349,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:20:00,765.35,765.9,764.75,764.9,26174,,,,763.702432,762.7231493050735,762.0028065563237,,,,,763.5922272359004,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:21:00,764.8,766.4,764.8,766.4,38343,,,,764.2419456000001,763.0733255617332,762.1752455148992,,,,,763.7242779962418,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:22:00,766.15,766.4,764.8,765.3,31915,,,,764.4535564800001,763.2853897939491,762.2977849064717,,,,,763.8061346835486,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:23:00,765.3,765.5,764.75,765.2,23331,,,,764.6028451840001,763.4677336230968,762.4115972630807,,,,,763.8499452956341,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:24:00,765.2,766.0,764.75,765.6,38502,,,,764.8022761472001,763.6708066113733,762.5366326645285,,,,,763.9316318534223,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:25:00,765.7,765.85,763.8,764.0,32771,,,,764.6418209177601,763.7021583626711,762.5940196188608,,,,,763.9573829831575,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:26:00,764.0,764.25,763.5,763.75,25592,,,,764.4634567342081,763.7067147090834,762.639352182827,,,,,763.9534758306359,,1,1,0,[762.4],[764.0],1,762.4,764.0
2025-04-15 09:27:00,763.75,764.8,763.55,764.8,62281,,,,764.5307653873665,763.8108371177422,762.724083469775,,,,,763.9840789610555,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:28:00,764.85,767.1,764.75,766.05,62012,,,,764.8346123098933,764.0240907255762,762.8545115689996,70.12987012987031,,,,764.115314241146,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:29:00,766.2,766.9,765.45,766.5,55603,,,,765.1676898479146,764.2598916088547,762.997471899627,71.2500000000003,,,,764.2367826081405,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:30:00,766.7,768.0,766.6,766.7,49748,,,,765.4741518783318,764.4922828842018,763.1426690800339,65.84158415841621,,,,764.3734578071094,,1,0,1,[762.4],[764.0],1,762.4,
2025-04-15 09:31:00,766.6,767.35,766.35,766.5,36010,,,,765.6793215026655,764.6834940380874,763.2743291161111,58.98876404494397,,,,764.4522747045029,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:32:00,766.75,766.8,766.0,766.6,21802,,,,765.8634572021325,764.8660184154123,763.4047475821459,59.4444444444447,,,,764.4922004613389,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:33:00,766.9,767.0,765.7,765.9,22715,,,,765.870765761706,764.9644928520397,763.5026006181401,53.225806451613,,,,764.5267534425162,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:34:00,765.95,766.0,765.0,765.1,17038,765.165,,,765.7166126093649,764.9773982947025,763.5652437311543,51.03092783505177,767.7487752876058,762.5812247123941,0.0067535114324513475,764.5393093360261,,1,0,0,[762.4],[764.0],1,762.4,
