datetime,Open,High,Low,Close,Volume
2025-04-16 09:15:00,763.5,764.45,760.5,762.0,156529
2025-04-16 09:16:00,762.0,765.0,761.65,764.25,58247
2025-04-16 09:17:00,764.35,765.7,764.1,764.25,58953
2025-04-16 09:18:00,764.3,764.85,763.7,764.1,32991
2025-04-16 09:19:00,764.1,764.45,763.6,764.2,38870
2025-04-16 09:20:00,764.1,765.5,764.0,765.15,52471
2025-04-16 09:21:00,765.35,766.3,765.3,765.9,43465
2025-04-16 09:22:00,765.9,765.9,765.0,765.0,19572
2025-04-16 09:23:00,765.2,766.0,764.85,765.6,31574
2025-04-16 09:24:00,765.6,766.0,765.6,765.7,16268
2025-04-16 09:25:00,765.9,765.95,765.0,765.15,18648
2025-04-16 09:26:00,765.15,767.8,765.1,767.4,65032
2025-04-16 09:27:00,767.45,768.4,767.2,767.95,35237
2025-04-16 09:28:00,768.0,768.25,767.7,768.25,32575
2025-04-16 09:29:00,768.25,768.6,767.75,768.35,28079
2025-04-16 09:30:00,768.35,768.5,767.75,768.5,45776
2025-04-16 09:31:00,768.4,769.0,768.1,768.5,46569
2025-04-16 09:32:00,768.55,769.0,768.25,768.75,34832
2025-04-16 09:33:00,768.95,769.0,768.65,769.0,34371
2025-04-16 09:34:00,769.0,769.0,768.0,768.0,39431
2025-04-16 09:35:00,768.25,768.25,767.05,767.15,45705
2025-04-16 09:36:00,767.25,768.4,767.0,768.25,46294
2025-04-16 09:37:00,768.4,769.0,768.1,769.0,32625
2025-04-16 09:38:00,768.75,769.35,768.35,769.05,58458
2025-04-16 09:39:00,768.8,769.45,768.65,768.75,26034
2025-04-16 09:40:00,768.95,769.2,768.5,768.8,22107
2025-04-16 09:41:00,768.9,768.9,768.3,768.55,29566
2025-04-16 09:42:00,768.7,768.75,768.15,768.4,21002
2025-04-16 09:43:00,768.55,768.75,768.15,768.5,17217
2025-04-16 09:44:00,768.4,769.25,768.4,769.25,26813
2025-04-16 09:45:00,769.25,769.25,768.7,768.85,20680
2025-04-16 09:46:00,768.65,768.7,768.15,768.35,20650
2025-04-16 09:47:00,768.45,768.5,767.75,768.05,25340
2025-04-16 09:48:00,768.05,768.15,767.6,767.95,14539
2025-04-16 09:49:00,767.95,767.95,767.55,767.7,11477
2025-04-16 09:50:00,767.65,769.85,767.3,769.3,159499
2025-04-16 09:51:00,769.0,769.0,768.55,768.7,24498
2025-04-16 09:52:00,768.7,768.85,768.1,768.15,15105
2025-04-16 09:53:00,768.5,768.5,767.85,768.15,10143
2025-04-16 09:54:00,768.15,768.2,767.8,767.8,12365
2025-04-16 09:55:00,767.75,767.8,767.3,767.35,20912
2025-04-16 09:56:00,767.65,767.7,767.2,767.45,10863
2025-04-16 09:57:00,767.4,767.45,767.2,767.35,8369
2025-04-16 09:58:00,767.35,767.75,767.35,767.55,11343
2025-04-16 09:59:00,767.5,767.8,767.2,767.5,17315
2025-04-16 10:00:00,767.45,767.65,767.2,767.65,8355
2025-04-16 10:01:00,767.65,768.0,767.4,768.0,7279
2025-04-16 10:02:00,768.0,768.55,767.95,768.5,10579
2025-04-16 10:03:00,768.45,768.6,768.3,768.5,9067
2025-04-16 10:04:00,768.4,768.5,768.2,768.35,6475
2025-04-16 10:05:00,768.45,768.5,768.2,768.2,5736
2025-04-16 10:06:00,768.2,768.35,767.65,767.65,11052
2025-04-16 10:07:00,767.55,767.8,767.35,767.65,9136
2025-04-16 10:08:00,767.75,767.95,767.5,767.8,12514
2025-04-16 10:09:00,767.9,768.0,767.25,767.7,39001
2025-04-16 10:10:00,767.85,767.9,767.6,767.7,9362
2025-04-16 10:11:00,767.5,767.75,767.5,767.6,6522
2025-04-16 10:12:00,767.65,768.9,767.25,768.9,26082
2025-04-16 10:13:00,768.85,768.9,768.65,768.85,19661
