datetime,Open,High,Low,Close,Volume
2025-04-30 09:15:00,811.5,811.5,796.0,801.45,464352
2025-04-30 09:16:00,800.8,804.05,799.3,799.3,185917
2025-04-30 09:17:00,799.0,799.35,795.05,797.85,161686
2025-04-30 09:18:00,797.85,798.8,796.05,797.8,119167
2025-04-30 09:19:00,797.55,799.0,796.55,797.75,115257
2025-04-30 09:20:00,797.75,798.6,796.55,797.45,152322
2025-04-30 09:21:00,797.15,797.65,795.65,797.15,100413
2025-04-30 09:22:00,797.45,799.45,797.15,799.45,66834
2025-04-30 09:23:00,799.85,799.95,796.45,797.85,121561
2025-04-30 09:24:00,797.55,797.85,796.0,797.85,79243
2025-04-30 09:25:00,797.85,798.0,796.05,796.85,74727
2025-04-30 09:26:00,796.8,796.8,795.5,795.65,79007
2025-04-30 09:27:00,795.85,797.0,795.3,796.25,84506
2025-04-30 09:28:00,796.35,798.0,795.6,797.9,71975
2025-04-30 09:29:00,797.6,799.25,797.45,799.15,59803
2025-04-30 09:30:00,799.0,799.5,796.9,798.95,86062
2025-04-30 09:31:00,799.4,799.85,798.75,799.15,48373
2025-04-30 09:32:00,798.85,799.8,798.65,799.65,43376
2025-04-30 09:33:00,799.6,800.6,799.35,800.0,62205
2025-04-30 09:34:00,800.4,800.5,799.45,800.0,46421
2025-04-30 09:35:00,799.85,799.85,798.65,799.25,52253
2025-04-30 09:36:00,799.2,800.95,799.0,800.9,61630
2025-04-30 09:37:00,800.75,801.2,800.45,801.0,36071
2025-04-30 09:38:00,800.95,801.1,800.55,800.9,25420
2025-04-30 09:39:00,800.9,800.95,800.1,800.5,27441
2025-04-30 09:40:00,800.8,800.85,800.2,800.35,29853
2025-04-30 09:41:00,800.35,800.45,799.0,799.1,39229
2025-04-30 09:42:00,799.3,799.8,799.0,799.3,46911
2025-04-30 09:43:00,799.35,799.4,798.0,799.0,57857
2025-04-30 09:44:00,798.95,799.55,798.8,799.2,18558
2025-04-30 09:45:00,799.2,799.6,798.2,798.5,36493
2025-04-30 09:46:00,798.35,798.55,797.5,798.2,42916
2025-04-30 09:47:00,798.45,799.5,798.2,799.4,35062
2025-04-30 09:48:00,799.5,800.6,799.2,800.4,40154
2025-04-30 09:49:00,800.35,801.1,800.35,800.9,50751
2025-04-30 09:50:00,801.0,801.25,800.35,800.85,35462
2025-04-30 09:51:00,800.7,801.2,800.6,800.7,31875
2025-04-30 09:52:00,800.9,801.5,800.7,800.95,26193
2025-04-30 09:53:00,801.0,801.65,800.9,801.4,41253
2025-04-30 09:54:00,801.25,801.4,800.6,800.85,36837
2025-04-30 09:55:00,800.6,800.9,799.9,800.0,54692
2025-04-30 09:56:00,800.0,800.2,799.35,799.4,32999
2025-04-30 09:57:00,799.65,800.0,799.0,799.6,28621
2025-04-30 09:58:00,799.6,799.95,798.1,798.4,44872
2025-04-30 09:59:00,798.75,799.0,798.35,798.8,17895
2025-04-30 10:00:00,798.8,799.0,797.3,797.4,72439
2025-04-30 10:01:00,797.35,798.75,797.35,798.0,31837
2025-04-30 10:02:00,798.1,798.2,796.5,797.25,93196
2025-04-30 10:03:00,797.15,797.5,796.2,797.5,81054
2025-04-30 10:04:00,797.6,797.65,795.05,795.15,178746
2025-04-30 10:05:00,795.05,795.6,794.0,794.15,173680
2025-04-30 10:06:00,794.0,794.9,794.0,794.4,33441
2025-04-30 10:07:00,794.4,796.15,794.4,795.5,89868
2025-04-30 10:08:00,795.6,795.65,794.9,795.0,301971
2025-04-30 10:09:00,795.05,795.95,795.0,795.1,52337
2025-04-30 10:10:00,795.1,795.5,795.0,795.35,327214
2025-04-30 10:11:00,795.5,795.5,794.0,794.55,540935
2025-04-30 10:12:00,794.55,794.9,794.0,794.9,38129
2025-04-30 10:13:00,794.65,795.15,794.0,794.15,55485
2025-04-30 10:14:00,794.15,794.3,793.0,793.1,65657
2025-04-30 10:15:00,793.15,793.65,793.0,793.65,33546
2025-04-30 10:16:00,793.35,793.65,792.15,792.7,70781
2025-04-30 10:17:00,792.75,793.25,792.5,792.6,44326
2025-04-30 10:18:00,792.6,793.1,792.0,792.2,66897
2025-04-30 10:19:00,792.45,792.7,792.1,792.35,28397
2025-04-30 10:20:00,792.35,792.35,791.0,791.25,626741
2025-04-30 10:21:00,791.25,791.25,790.6,791.05,84831
2025-04-30 10:22:00,791.0,791.55,790.6,791.1,37200
2025-04-30 10:23:00,791.2,791.9,790.85,791.6,94528
2025-04-30 10:24:00,791.85,792.3,791.5,792.05,80196
2025-04-30 10:25:00,792.0,792.3,792.0,792.25,43682
2025-04-30 10:26:00,792.25,792.4,791.0,791.05,172070
2025-04-30 10:27:00,791.1,791.1,790.1,790.65,220374
2025-04-30 10:28:00,790.65,791.0,790.35,790.7,31367
2025-04-30 10:29:00,790.65,790.65,789.6,790.25,255206
2025-04-30 10:30:00,790.0,790.2,789.7,789.9,77429
2025-04-30 10:31:00,789.9,790.25,789.5,789.65,44199
2025-04-30 10:32:00,789.6,789.85,789.0,789.4,67207
2025-04-30 10:33:00,789.4,789.4,788.35,788.5,68234
2025-04-30 10:34:00,788.7,788.7,787.5,787.8,112431
2025-04-30 10:35:00,787.6,787.95,787.3,787.8,47993
2025-04-30 10:36:00,787.65,787.95,784.5,785.4,294936
2025-04-30 10:37:00,785.2,786.25,785.0,785.1,89981
2025-04-30 10:38:00,785.1,786.85,785.0,786.65,62655
2025-04-30 10:39:00,786.65,786.8,785.15,785.4,138302
2025-04-30 10:40:00,785.5,786.0,785.4,786.0,53867
2025-04-30 10:41:00,786.0,786.0,785.6,785.8,53854
2025-04-30 10:42:00,785.95,787.0,785.5,786.35,167512
2025-04-30 10:43:00,786.5,787.0,785.85,787.0,70007
2025-04-30 10:44:00,787.0,787.45,786.6,787.2,50664
2025-04-30 10:45:00,787.3,787.5,786.8,787.3,40455
2025-04-30 10:46:00,787.35,787.95,787.15,787.8,49656
2025-04-30 10:47:00,787.95,788.5,787.6,788.45,41906
2025-04-30 10:48:00,788.4,789.5,787.9,789.45,99445
2025-04-30 10:49:00,789.2,790.35,789.2,790.2,182801
2025-04-30 10:50:00,790.0,790.55,789.3,789.35,66778
2025-04-30 10:51:00,789.3,789.35,788.35,789.25,50395
2025-04-30 10:52:00,789.1,789.4,788.8,789.1,22416
2025-04-30 10:53:00,789.05,789.3,788.75,789.0,22678
2025-04-30 10:54:00,789.0,789.65,789.0,789.3,17244
2025-04-30 10:55:00,789.35,789.65,789.0,789.15,28625
2025-04-30 10:56:00,789.05,790.0,789.05,789.95,26955
2025-04-30 10:57:00,789.9,790.5,789.9,790.25,30979
2025-04-30 10:58:00,790.25,790.65,790.2,790.35,22133
2025-04-30 10:59:00,790.3,791.15,790.0,790.3,2099425
2025-04-30 11:00:00,790.25,791.0,790.2,790.4,45031
2025-04-30 11:01:00,790.45,791.9,790.45,791.45,54839
2025-04-30 11:02:00,791.75,792.0,791.35,791.6,73499
2025-04-30 11:03:00,791.7,791.75,791.0,791.1,53234
2025-04-30 11:04:00,791.0,791.75,790.95,791.1,31711
2025-04-30 11:05:00,791.35,791.35,790.1,790.25,80460
2025-04-30 11:06:00,790.25,790.7,789.1,789.15,192527
2025-04-30 11:07:00,789.25,789.25,788.0,788.6,70898
2025-04-30 11:08:00,788.9,789.0,787.1,787.6,70520
2025-04-30 11:09:00,787.8,788.2,787.0,787.95,50299
2025-04-30 11:10:00,787.8,788.5,787.5,788.4,18884
2025-04-30 11:11:00,788.55,789.25,788.4,789.15,22401
2025-04-30 11:12:00,789.25,789.45,788.95,789.4,18285
2025-04-30 11:13:00,789.4,790.0,789.35,789.85,19220
2025-04-30 11:14:00,789.7,790.2,789.65,789.85,24035
2025-04-30 11:15:00,789.85,789.9,789.4,789.6,27963
