datetime,Open,High,Low,Close,Volume
2025-04-22 09:15:00,821.15,821.15,817.0,818.7,278603
2025-04-22 09:16:00,818.25,818.55,815.0,815.0,144484
2025-04-22 09:17:00,814.9,816.0,814.0,815.35,75172
2025-04-22 09:18:00,815.35,816.0,814.75,815.5,53996
2025-04-22 09:19:00,815.5,815.7,814.5,814.6,48304
2025-04-22 09:20:00,814.55,815.45,814.5,815.2,70047
2025-04-22 09:21:00,815.45,817.0,815.1,815.8,49854
2025-04-22 09:22:00,816.05,816.8,815.5,816.0,55311
2025-04-22 09:23:00,816.4,817.95,815.8,816.55,54611
2025-04-22 09:24:00,817.0,817.0,815.8,816.35,41977
2025-04-22 09:25:00,816.6,817.7,816.25,817.7,51427
2025-04-22 09:26:00,817.25,817.7,816.3,816.3,46784
2025-04-22 09:27:00,816.6,816.95,816.0,816.1,43162
2025-04-22 09:28:00,816.5,816.65,815.8,816.5,41732
2025-04-22 09:29:00,816.25,816.65,815.85,816.05,30593
2025-04-22 09:30:00,816.35,817.0,816.05,816.9,27890
2025-04-22 09:31:00,816.95,817.85,816.95,817.55,38549
2025-04-22 09:32:00,817.85,818.5,817.5,818.1,47446
2025-04-22 09:33:00,818.4,818.4,817.3,817.5,28480
2025-04-22 09:34:00,817.2,817.7,817.2,817.6,18408
2025-04-22 09:35:00,817.7,817.75,816.95,817.5,37093
2025-04-22 09:36:00,817.5,818.0,817.3,817.55,18878
2025-04-22 09:37:00,817.85,818.0,817.0,817.05,24459
2025-04-22 09:38:00,816.7,817.0,816.2,816.2,35848
2025-04-22 09:39:00,816.45,817.35,816.05,816.85,153181
2025-04-22 09:40:00,816.85,817.15,816.1,816.3,28628
2025-04-22 09:41:00,816.35,816.65,815.6,816.0,63374
2025-04-22 09:42:00,815.7,816.25,815.7,816.2,18374
2025-04-22 09:43:00,816.15,817.0,816.15,816.95,19132
2025-04-22 09:44:00,816.9,817.95,816.9,817.95,33979
2025-04-22 09:45:00,817.55,818.0,817.0,817.05,27253
2025-04-22 09:46:00,817.2,817.55,817.1,817.5,15402
2025-04-22 09:47:00,817.5,817.75,817.15,817.15,12368
2025-04-22 09:48:00,817.15,817.4,816.5,816.5,45882
2025-04-22 09:49:00,816.7,816.85,816.45,816.5,18234
2025-04-22 09:50:00,816.7,817.0,816.5,817.0,17313
2025-04-22 09:51:00,816.95,817.0,816.2,816.25,26751
2025-04-22 09:52:00,816.2,816.55,815.5,815.7,70155
2025-04-22 09:53:00,815.95,816.3,815.7,816.15,39969
2025-04-22 09:54:00,816.1,816.65,815.65,816.55,69433
2025-04-22 09:55:00,816.45,816.6,816.0,816.2,17726
2025-04-22 09:56:00,816.2,817.1,816.2,816.65,41761
