datetime,Open,High,Low,Close,Volume
2025-04-25 09:48:00,805.25,805.8,804.55,804.8,58039
2025-04-25 09:49:00,804.55,805.0,804.05,805.0,50619
2025-04-25 09:50:00,804.7,805.0,804.0,804.4,31857
2025-04-25 09:51:00,804.35,805.05,804.35,804.8,35655
2025-04-25 09:52:00,804.8,805.85,804.8,804.9,36346
2025-04-25 09:53:00,805.0,805.5,804.55,805.0,18677
2025-04-25 09:54:00,804.85,805.05,804.1,804.1,30750
2025-04-25 09:55:00,804.1,804.7,803.55,803.55,43470
2025-04-25 09:56:00,803.75,803.75,802.5,802.6,46764
2025-04-25 09:57:00,802.8,802.8,802.0,802.45,50028
2025-04-25 09:58:00,802.45,803.15,802.45,802.7,26350
2025-04-25 09:59:00,802.6,803.35,802.4,803.1,49535
2025-04-25 10:00:00,803.15,803.25,801.3,801.3,45955
2025-04-25 10:01:00,801.55,802.0,801.2,801.7,35790
2025-04-25 10:02:00,801.45,801.55,800.2,800.2,71843
2025-04-25 10:03:00,800.3,800.35,797.5,798.25,311093
2025-04-25 10:04:00,798.35,798.75,797.4,797.6,176010
2025-04-25 10:05:00,797.6,799.4,797.6,798.35,89940
2025-04-25 10:06:00,798.15,799.0,798.0,798.15,67926
2025-04-25 10:07:00,798.15,800.65,798.05,799.2,101377
2025-04-25 10:08:00,799.2,799.5,798.5,799.5,56683
2025-04-25 10:09:00,799.65,800.45,799.1,799.9,52957
2025-04-25 10:10:00,799.95,800.9,799.5,800.55,47693
2025-04-25 10:11:00,800.6,801.8,800.45,801.5,50000
2025-04-25 10:12:00,801.5,801.5,800.35,800.55,38194
2025-04-25 10:13:00,800.55,801.55,800.35,801.2,59959
2025-04-25 10:14:00,801.2,801.5,800.6,801.05,30151
2025-04-25 10:15:00,800.8,801.45,800.0,800.0,31397
2025-04-25 10:16:00,800.2,800.2,798.35,798.35,42285
2025-04-25 10:17:00,798.4,798.85,798.05,798.1,33050
2025-04-25 10:18:00,798.0,798.05,797.0,797.7,85851
2025-04-25 10:19:00,797.6,797.95,796.0,797.4,56730
2025-04-25 10:20:00,797.4,797.7,796.7,796.8,34723
2025-04-25 10:21:00,797.05,797.7,796.55,797.7,33074
2025-04-25 10:22:00,797.3,797.9,797.05,797.9,22141
2025-04-25 10:23:00,797.9,798.35,797.6,798.3,20919
2025-04-25 10:24:00,798.3,798.3,797.25,797.4,26642
2025-04-25 10:25:00,797.45,797.45,795.25,795.25,47358
2025-04-25 10:26:00,795.1,795.3,794.3,794.3,77337
2025-04-25 10:27:00,794.3,794.5,792.0,792.3,100607
2025-04-25 10:28:00,791.85,793.1,791.6,792.35,56901
2025-04-25 10:29:00,792.35,792.9,791.05,791.2,57398
2025-04-25 10:30:00,791.25,791.8,790.45,790.8,73023
2025-04-25 10:31:00,790.8,791.0,790.15,790.65,70937
2025-04-25 10:32:00,790.65,792.25,790.65,791.8,46703
2025-04-25 10:33:00,791.8,791.8,790.55,790.85,37783
2025-04-25 10:34:00,791.1,791.3,790.15,790.4,38802
2025-04-25 10:35:00,790.45,791.9,790.3,791.7,23414
2025-04-25 10:36:00,791.7,792.9,791.7,792.05,50537
2025-04-25 10:37:00,792.05,793.25,792.0,792.35,37458
2025-04-25 10:38:00,792.4,792.5,791.5,791.9,26447
2025-04-25 10:39:00,791.95,792.75,791.05,792.3,30162
2025-04-25 10:40:00,792.25,793.5,792.25,792.55,31761
2025-04-25 10:41:00,792.75,793.75,792.6,793.5,18945
2025-04-25 10:42:00,793.6,794.25,793.5,793.7,32085
2025-04-25 10:43:00,793.7,793.85,792.5,792.5,32019
2025-04-25 10:44:00,792.55,793.4,792.1,792.4,28219
2025-04-25 10:45:00,792.5,792.5,792.0,792.3,16078
2025-04-25 10:46:00,792.3,792.95,792.0,792.65,16105
2025-04-25 10:47:00,792.6,793.95,792.6,792.85,36813
2025-04-25 10:48:00,792.95,793.9,792.85,793.55,28122
