datetime,Open,High,Low,Close,Volume
2025-04-21 09:15:00,803.0,806.0,801.4,805.35,596936
2025-04-21 09:16:00,805.95,806.75,804.8,805.9,287978
2025-04-21 09:17:00,806.05,809.0,805.8,808.65,200014
2025-04-21 09:18:00,808.7,810.75,808.7,809.5,264843
2025-04-21 09:19:00,809.5,810.2,809.0,809.15,168542
2025-04-21 09:20:00,809.5,810.8,808.8,810.4,177589
2025-04-21 09:21:00,810.05,811.85,809.55,811.0,275801
2025-04-21 09:22:00,811.25,811.25,808.2,808.25,217842
2025-04-21 09:23:00,808.4,809.45,808.05,809.45,263863
2025-04-21 09:24:00,809.35,809.55,808.35,809.55,99823
2025-04-21 09:25:00,809.0,809.55,807.2,807.95,155969
2025-04-21 09:26:00,807.95,808.7,807.5,807.8,68446
2025-04-21 09:27:00,807.8,809.8,807.5,809.15,106055
2025-04-21 09:28:00,809.05,812.0,809.05,811.95,216569
2025-04-21 09:29:00,811.9,813.4,811.3,812.75,225733
2025-04-21 09:30:00,812.7,814.0,812.65,813.65,122004
2025-04-21 09:31:00,813.6,814.9,813.5,814.9,165845
2025-04-21 09:32:00,814.8,816.9,814.55,816.5,245810
2025-04-21 09:33:00,816.55,817.5,816.4,817.3,149919
2025-04-21 09:34:00,817.05,817.8,817.0,817.4,124956
2025-04-21 09:35:00,817.15,818.8,817.15,818.55,200837
2025-04-21 09:36:00,818.55,818.9,818.0,818.25,98974
2025-04-21 09:37:00,818.1,819.55,817.6,819.05,250469
2025-04-21 09:38:00,819.05,819.1,818.25,818.3,87575
2025-04-21 09:39:00,818.5,818.6,817.65,818.0,99502
2025-04-21 09:40:00,817.9,819.4,817.25,819.25,163894
2025-04-21 09:41:00,819.4,821.0,819.35,820.15,345082
2025-04-21 09:42:00,820.15,820.5,819.45,820.05,102075
2025-04-21 09:43:00,820.2,820.9,819.65,820.0,104330
2025-04-21 09:44:00,820.1,820.9,819.6,819.7,103019
2025-04-21 09:45:00,820.0,821.6,820.0,820.9,146218
2025-04-21 09:46:00,820.85,820.9,820.1,820.6,49766
2025-04-21 09:47:00,820.6,821.15,820.35,820.7,102825
2025-04-21 09:48:00,820.7,820.85,819.4,819.5,95260
2025-04-21 09:49:00,819.9,820.4,819.4,820.25,61316
2025-04-21 09:50:00,820.3,821.25,819.85,820.5,83967
2025-04-21 09:51:00,820.5,821.25,820.3,820.85,64037
2025-04-21 09:52:00,820.85,821.0,820.0,820.25,31561
2025-04-21 09:53:00,820.35,821.1,820.35,820.9,69730
2025-04-21 09:54:00,821.0,821.55,820.85,821.4,61385
2025-04-21 09:55:00,821.4,821.6,821.1,821.3,45418
2025-04-21 09:56:00,821.3,821.35,820.7,820.7,47884
2025-04-21 09:57:00,820.7,821.4,820.7,821.1,56230
2025-04-21 09:58:00,820.85,821.5,820.75,821.0,30665
2025-04-21 09:59:00,821.0,821.0,820.0,820.15,40542
2025-04-21 10:00:00,820.15,820.2,818.5,818.65,95624
2025-04-21 10:01:00,818.7,819.0,818.5,818.5,40482
2025-04-21 10:02:00,818.55,818.55,817.05,817.05,181335
2025-04-21 10:03:00,817.35,817.9,817.05,817.4,36941
2025-04-21 10:04:00,817.25,818.0,817.2,817.8,36540
2025-04-21 10:05:00,817.85,818.05,817.55,817.85,49601
2025-04-21 10:06:00,817.6,818.85,817.45,818.6,40535
2025-04-21 10:07:00,818.6,819.55,818.55,819.55,44009
2025-04-21 10:08:00,819.8,820.0,819.5,819.9,46215
2025-04-21 10:09:00,819.95,820.0,819.25,819.4,21821
2025-04-21 10:10:00,819.4,819.5,819.0,819.1,25808
2025-04-21 10:11:00,818.9,819.45,818.35,818.35,23411
2025-04-21 10:12:00,818.25,819.25,818.2,818.7,14856
2025-04-21 10:13:00,818.7,819.95,818.6,819.8,69461
2025-04-21 10:14:00,819.55,820.0,819.05,819.1,26158
2025-04-21 10:15:00,818.9,819.3,818.75,819.0,17819
2025-04-21 10:16:00,819.0,819.3,818.6,819.0,30340
2025-04-21 10:17:00,818.9,819.0,818.1,818.35,15901
2025-04-21 10:18:00,818.4,819.0,818.0,818.65,23119
