timestamp,open,high,low,close,volume,oi
2025-01-01 09:15:00+05:30,486.0,486.85,482.15,483.05,1450080,0
2025-01-01 09:45:00+05:30,482.9,483.8,482.4,483.4,483057,0
2025-01-01 10:15:00+05:30,483.45,484.5,483.0,484.2,829610,0
2025-01-01 10:45:00+05:30,484.2,485.15,483.55,484.8,1109373,0
2025-01-01 11:15:00+05:30,484.6,485.1,484.35,484.7,1757247,0
2025-01-01 11:45:00+05:30,484.65,485.3,484.5,485.2,1128864,0
2025-01-01 12:15:00+05:30,485.2,486.0,485.0,485.55,732606,0
2025-01-01 12:45:00+05:30,485.55,486.0,484.8,485.2,1282403,0
2025-01-01 13:15:00+05:30,485.2,485.95,484.65,485.75,1723065,0
2025-01-01 13:45:00+05:30,485.75,486.65,485.3,486.25,2276691,0
2025-01-01 14:15:00+05:30,486.15,486.65,484.95,485.3,1902151,0
2025-01-01 14:45:00+05:30,485.35,485.5,483.6,484.3,2490255,0
2025-01-01 15:15:00+05:30,484.3,484.7,483.0,484.7,1012693,0
2025-01-02 09:15:00+05:30,485.35,485.6,482.3,483.65,1977151,0
2025-01-02 09:45:00+05:30,483.5,484.45,483.0,483.15,1343898,0
2025-01-02 10:15:00+05:30,483.1,483.75,482.85,483.0,1239747,0
2025-01-02 10:45:00+05:30,483.1,484.2,482.9,483.35,1340470,0
2025-01-02 11:15:00+05:30,483.35,485.3,482.75,485.0,2623530,0
2025-01-02 11:45:00+05:30,485.0,487.25,484.0,486.2,1919796,0
2025-01-02 12:15:00+05:30,486.05,487.75,485.9,487.2,2272383,0
2025-01-02 12:45:00+05:30,487.2,487.75,486.75,487.2,1529630,0
2025-01-02 13:15:00+05:30,487.15,487.3,486.05,486.95,1529820,0
2025-01-02 13:45:00+05:30,486.95,487.3,485.8,485.85,1665455,0
2025-01-02 14:15:00+05:30,486.0,487.4,485.85,487.15,1882710,0
2025-01-02 14:45:00+05:30,487.1,489.4,487.0,489.1,4208554,0
2025-01-02 15:15:00+05:30,489.1,490.0,488.0,489.5,2519182,0
2025-01-03 09:15:00+05:30,490.25,491.0,484.2,485.05,3115395,0
2025-01-03 09:45:00+05:30,485.05,485.85,484.3,484.5,1375614,0
2025-01-03 10:15:00+05:30,484.45,485.4,483.55,484.9,1329913,0
2025-01-03 10:45:00+05:30,484.85,485.6,483.65,484.55,1419030,0
2025-01-03 11:15:00+05:30,484.55,485.0,484.05,484.9,1449525,0
2025-01-03 11:45:00+05:30,484.85,485.35,483.8,484.0,2338987,0
2025-01-03 12:15:00+05:30,483.95,484.0,481.5,483.3,2253090,0
2025-01-03 12:45:00+05:30,483.25,483.7,481.75,482.5,1707894,0
2025-01-03 13:15:00+05:30,482.45,482.75,482.0,482.5,1428469,0
2025-01-03 13:45:00+05:30,482.4,482.5,481.1,481.25,1829249,0
2025-01-03 14:15:00+05:30,481.2,481.7,480.6,480.9,2648364,0
2025-01-03 14:45:00+05:30,480.8,481.7,479.85,480.5,7394083,0
2025-01-03 15:15:00+05:30,480.4,485.0,480.0,483.95,8676515,0
2025-01-06 09:15:00+05:30,455.6,455.6,455.6,455.6,25,0
2025-01-06 09:45:00+05:30,455.55,461.75,455.0,461.65,3917522,0
2025-01-06 10:15:00+05:30,461.65,461.65,448.3,451.8,3589658,0
2025-01-06 10:45:00+05:30,451.8,452.8,449.5,450.05,1502001,0
2025-01-06 11:15:00+05:30,450.05,451.45,448.85,449.3,1514280,0
2025-01-06 11:45:00+05:30,449.3,451.0,448.1,449.5,1713811,0
2025-01-06 12:15:00+05:30,449.45,449.95,447.65,449.95,779138,0
2025-01-06 12:45:00+05:30,449.95,450.9,444.8,445.2,1173797,0
2025-01-06 13:15:00+05:30,445.2,445.2,441.25,442.85,1760091,0
2025-01-06 13:45:00+05:30,442.85,445.0,442.0,444.7,1065098,0
2025-01-06 14:15:00+05:30,444.7,445.0,442.85,443.05,1099079,0
2025-01-06 14:45:00+05:30,443.1,444.5,441.65,442.15,1516397,0
2025-01-06 15:15:00+05:30,442.15,445.7,441.25,445.35,1767283,0
2025-01-07 09:15:00+05:30,445.5,447.6,442.85,445.05,1741808,0
2025-01-07 09:45:00+05:30,445.0,445.45,442.6,444.4,1381309,0
2025-01-07 10:15:00+05:30,444.4,445.45,443.0,444.95,972472,0
2025-01-07 10:45:00+05:30,444.95,446.95,444.45,446.45,1164539,0
2025-01-07 11:15:00+05:30,446.4,446.65,444.6,444.75,795584,0
2025-01-07 11:45:00+05:30,444.75,444.75,442.6,443.15,781605,0
2025-01-07 12:15:00+05:30,443.05,443.2,440.5,441.35,1341125,0
2025-01-07 12:45:00+05:30,441.3,442.5,440.15,441.35,1091639,0
2025-01-07 13:15:00+05:30,441.35,442.85,441.2,441.55,773550,0
2025-01-07 13:45:00+05:30,441.45,441.85,441.0,441.5,773300,0
2025-01-07 14:15:00+05:30,441.55,441.85,440.65,441.25,715594,0
2025-01-07 14:45:00+05:30,441.2,442.15,440.55,440.55,1400970,0
2025-01-07 15:15:00+05:30,440.65,441.6,440.25,441.1,1310772,0
2025-01-08 09:15:00+05:30,443.0,443.65,437.1,438.75,1151790,0
2025-01-08 09:45:00+05:30,438.8,440.75,437.9,440.4,573026,0
2025-01-08 10:15:00+05:30,440.5,440.95,439.2,440.1,461608,0
2025-01-08 10:45:00+05:30,440.1,440.2,438.8,440.0,564218,0
2025-01-08 11:15:00+05:30,440.0,440.6,438.75,438.9,297867,0
2025-01-08 11:45:00+05:30,438.9,439.9,437.5,439.75,786455,0
2025-01-08 12:15:00+05:30,439.75,444.95,439.5,444.0,1845910,0
2025-01-08 12:45:00+05:30,444.0,446.45,443.95,444.5,1270637,0
2025-01-08 13:15:00+05:30,444.35,448.25,444.35,447.8,798553,0
2025-01-08 13:45:00+05:30,447.75,448.95,446.45,448.0,1351294,0
2025-01-08 14:15:00+05:30,448.0,449.55,446.8,449.45,1190917,0
2025-01-08 14:45:00+05:30,449.45,452.05,448.8,450.85,2267417,0
2025-01-08 15:15:00+05:30,450.8,450.9,448.65,449.65,894187,0
